,show_name,network,genre,time_slot,program_start_time,program_duration,show_premier,show_repeat,rating
0,OF WOLVES AND MAN,JGN,Drama,2015-09-20 20:00:00,2015-09-20 20:00:00,3600,0,1,0.0067760876596031396
1,OF WOLVES AND MAN,JGN,Drama,2015-09-20 21:00:00,2015-09-20 21:00:00,7200,0,1,0.005118136913384766
2,OF WOLVES AND MAN,JGN,Drama,2015-09-27 20:00:00,2015-09-27 20:00:00,3600,1,0,0.02175696807937203
3,OF WOLVES AND MAN,JGN,Drama,2015-10-04 20:00:00,2015-10-04 20:00:00,3600,0,0,0.0186638616379746
4,OF WOLVES AND MAN,JGN,Drama,2015-10-11 20:00:00,2015-10-11 20:00:00,3600,0,0,0.016884469730148573
5,OF WOLVES AND MAN,JGN,Drama,2015-10-18 20:00:00,2015-10-18 20:00:00,3600,0,0,0.015586060101741737
6,OF WOLVES AND MAN,JGN,Drama,2015-10-25 20:00:00,2015-10-25 20:00:00,3600,0,0,0.018979560017518445
7,OF WOLVES AND MAN,JGN,Drama,2015-11-01 20:00:00,2015-11-01 20:00:00,3600,0,0,0.017576047636694403
8,OF WOLVES AND MAN,JGN,Drama,2015-11-08 20:00:00,2015-11-08 20:00:00,3600,0,0,0.017412864939527678
9,OF WOLVES AND MAN,JGN,Drama,2015-11-15 20:00:00,2015-11-15 20:00:00,7200,0,0,0.014713211855270691
10,OF WOLVES AND MAN,JGN,Drama,2015-11-29 20:00:00,2015-11-29 20:00:00,3600,0,0,0.014458458376848704
11,OF WOLVES AND MAN,JGN,Drama,2015-12-06 20:00:00,2015-12-06 20:16:00,3660,0,0,0.01413727430891336
12,OF WOLVES AND MAN,JGN,Drama,2016-03-06 19:00:00,2016-03-06 19:00:00,3600,0,1,0.009071432739278374
13,OF WOLVES AND MAN,JGN,Drama,2016-03-06 20:00:00,2016-03-06 20:00:00,3600,0,0,0.014869477815584675
14,OF WOLVES AND MAN,JGN,Drama,2016-03-13 20:00:00,2016-03-13 20:00:00,3600,0,0,0.014821053936596709
15,OF WOLVES AND MAN,JGN,Drama,2016-03-20 20:00:00,2016-03-20 20:00:00,3600,0,0,0.012388567732372064
16,OF WOLVES AND MAN,JGN,Drama,2016-03-27 20:00:00,2016-03-27 20:00:00,3600,0,0,0.012412900987096992
17,OF WOLVES AND MAN,JGN,Drama,2016-04-03 20:00:00,2016-04-03 20:00:00,3600,0,0,0.013234181315904729
18,OF WOLVES AND MAN,JGN,Drama,2016-04-10 20:00:00,2016-04-10 20:00:00,3600,0,0,0.011499370447731024
19,OF WOLVES AND MAN,JGN,Drama,2016-04-17 20:00:00,2016-04-17 20:00:00,3600,0,0,0.0136619326887444
20,OF WOLVES AND MAN,JGN,Drama,2016-04-24 20:00:00,2016-04-24 20:00:00,3600,0,0,0.011667038709025369
21,OF WOLVES AND MAN,JGN,Drama,2016-05-01 20:00:00,2016-05-01 20:00:00,3600,0,0,0.013573809554290337
22,OF WOLVES AND MAN,JGN,Drama,2016-05-08 20:00:00,2016-05-08 20:00:00,3600,0,0,0.013766922531415293
23,OF WOLVES AND MAN,JGN,Drama,2016-05-15 19:00:00,2016-05-15 19:00:00,7200,0,0,0.013149591348583366
24,OF WOLVES AND MAN,JGN,Drama,2016-09-25 19:00:00,2016-09-25 19:00:00,3600,0,0,0.009190852090032156
25,OF WOLVES AND MAN,JGN,Drama,2016-09-25 20:00:00,2016-09-25 20:00:00,3600,1,0,0.012285889747074615
26,OF WOLVES AND MAN,JGN,Drama,2016-10-02 20:00:00,2016-10-02 20:00:00,3600,0,0,0.011577064242384062
27,OF WOLVES AND MAN,JGN,Drama,2016-10-09 20:00:00,2016-10-09 20:00:00,3600,0,0,0.01496699920442868
28,OF WOLVES AND MAN,JGN,Drama,2016-10-16 20:00:00,2016-10-16 20:00:00,3600,0,0,0.011575762140749828
29,OF WOLVES AND MAN,JGN,Drama,2016-10-23 20:00:00,2016-10-23 20:00:00,3600,0,0,0.011950378227864886
30,OF WOLVES AND MAN,JGN,Drama,2016-10-30 20:00:00,2016-10-30 20:00:00,3600,0,0,0.011139712434116749
31,OF WOLVES AND MAN,JGN,Drama,2016-11-06 20:00:00,2016-11-06 20:00:00,3600,0,0,0.011205162926376504
32,OF WOLVES AND MAN,JGN,Drama,2016-11-13 20:00:00,2016-11-13 20:00:00,3600,0,0,0.012176576656611529
33,OF WOLVES AND MAN,JGN,Drama,2016-11-27 20:00:00,2016-11-27 20:00:00,3600,0,0,0.0110697945437067
34,OF WOLVES AND MAN,JGN,Drama,2016-12-04 20:00:00,2016-12-04 20:00:00,3600,0,0,0.009858034192992342
35,FUN TIME,JGN,Other,2015-09-06 20:00:00,2015-09-06 20:00:00,7260,0,0,0.012142998308851969
36,FUN TIME,JGN,Other,2015-09-07 21:00:00,2015-09-07 21:00:00,3660,0,0,0.016248071286595018
37,FUN TIME,JGN,Other,2015-09-07 22:00:00,2015-09-07 22:01:00,3540,0,0,0.014379979500907044
38,FUN TIME,JGN,Other,2016-01-04 20:00:00,2016-01-04 20:00:00,7260,1,0,0.02494051187492744
39,FUN TIME,JGN,Other,2016-01-04 22:00:00,2016-01-04 22:01:00,3540,1,0,0.01307146886793045
40,FUN TIME,JGN,Other,2016-01-11 20:00:00,2016-01-11 20:00:00,7320,0,0,0.02415676850302901
41,FUN TIME,JGN,Other,2016-01-11 22:00:00,2016-01-11 22:02:00,3480,0,0,0.012599874231970698
42,FUN TIME,JGN,Other,2016-01-18 20:00:00,2016-01-18 20:00:00,7260,0,0,0.025473203823431226
43,FUN TIME,JGN,Other,2016-01-18 22:00:00,2016-01-18 22:01:00,3540,0,0,0.012872720793217829
44,FUN TIME,JGN,Other,2016-01-25 20:00:00,2016-01-25 20:00:00,7260,0,0,0.027332152546898456
45,FUN TIME,JGN,Other,2016-01-25 22:00:00,2016-01-25 22:01:00,3540,0,0,0.014159097074339759
46,FUN TIME,JGN,Other,2016-02-01 20:00:00,2016-02-01 20:00:00,7260,0,0,0.02502005537604935
47,FUN TIME,JGN,Other,2016-02-01 22:00:00,2016-02-01 22:01:00,3540,0,0,0.011930375984199135
48,FUN TIME,JGN,Other,2016-02-08 20:00:00,2016-02-08 20:00:00,7260,0,0,0.02790464163169892
49,FUN TIME,JGN,Other,2016-02-15 20:00:00,2016-02-15 20:00:00,7260,0,0,0.021696813811116527
50,FUN TIME,JGN,Other,2016-02-22 20:00:00,2016-02-22 20:00:00,7260,0,0,0.02716951194898825
51,FUN TIME,JGN,Other,2016-02-29 20:00:00,2016-02-29 20:00:00,7260,0,0,0.028627836114001305
52,FUN TIME,JGN,Other,2016-03-07 20:00:00,2016-03-07 20:00:00,7260,0,0,0.027456570766359576
53,FUN TIME,JGN,Other,2016-03-14 20:00:00,2016-03-14 20:00:00,7260,0,0,0.030976452258757343
54,FUN TIME,JGN,Other,2016-03-14 22:00:00,2016-03-14 22:01:00,3540,0,0,0.029267582312994308
55,FUN TIME,JGN,Other,2016-08-02 20:00:00,2016-08-02 20:00:00,7200,1,0,0.01528014808139339
56,FUN TIME,JGN,Other,2016-08-08 20:00:00,2016-08-08 20:00:00,7260,1,0,0.01437218963298969
57,FUN TIME,JGN,Other,2016-08-09 20:00:00,2016-08-09 20:00:00,3600,0,0,0.013650965704275174
58,FUN TIME,JGN,Other,2016-08-09 21:00:00,2016-08-09 21:00:00,3600,1,0,0.008205610147222316
59,FUN TIME,JGN,Other,2016-08-15 20:00:00,2016-08-15 20:00:00,7260,0,0,0.014191731979486826
60,FUN TIME,JGN,Other,2016-08-16 20:00:00,2016-08-16 20:00:00,3780,0,0,0.015019370300139731
61,FUN TIME,JGN,Other,2016-08-16 21:00:00,2016-08-16 21:03:00,3420,0,0,0.0076658762821888125
62,FUN TIME,JGN,Other,2016-08-22 20:00:00,2016-08-22 20:00:00,7260,0,0,0.01631103393544403
63,FUN TIME,JGN,Other,2016-08-23 20:00:00,2016-08-23 20:00:00,3600,0,0,0.015680986962234276
64,FUN TIME,JGN,Other,2016-08-23 21:00:00,2016-08-23 21:00:00,3600,0,0,0.008886161354984334
65,FUN TIME,JGN,Other,2016-08-29 20:00:00,2016-08-29 20:00:00,7260,0,0,0.0180825924118824
66,FUN TIME,JGN,Other,2016-08-30 20:00:00,2016-08-30 20:00:00,3600,0,0,0.016856385073093113
67,FUN TIME,JGN,Other,2016-08-30 21:00:00,2016-08-30 21:00:00,3600,0,0,0.011020959807073957
68,FUN TIME,JGN,Other,2016-09-05 20:00:00,2016-09-05 20:00:00,7260,0,0,0.015615721539901713
69,FUN TIME,JGN,Other,2016-09-06 20:00:00,2016-09-06 20:00:00,3780,0,0,0.018848125226714148
70,FUN TIME,JGN,Other,2016-09-06 21:00:00,2016-09-06 21:03:00,3420,0,0,0.012026709642638434
71,FUN TIME,JGN,Other,2017-01-01 20:00:00,2017-01-01 20:00:00,3600,0,0,0.00920869136805118
72,FUN TIME,JGN,Other,2017-01-02 20:00:00,2017-01-02 20:00:00,7260,1,0,0.020190335041273003
73,FUN TIME,JGN,Other,2017-01-09 20:00:00,2017-01-09 20:00:00,7260,0,0,0.019301668211693195
74,FUN TIME,JGN,Other,2017-01-16 20:00:00,2017-01-16 20:00:00,7260,0,0,0.0221642233413064
75,FUN TIME,JGN,Other,2017-01-23 20:00:00,2017-01-23 20:00:00,7260,0,0,0.02411391298438691
76,SLIDING DOORS,JGN,Other,2015-09-02 22:00:00,2015-09-02 22:00:00,3600,0,0,0.010382402351514336
77,FIRST ONE TO GO,JGN,Comedy,2015-09-18 20:00:00,2015-09-18 20:00:00,1860,0,1,0.012561826130521113
78,FIRST ONE TO GO,JGN,Comedy,2015-09-25 20:00:00,2015-09-25 20:00:00,1860,1,0,0.02047191412919093
79,FIRST ONE TO GO,JGN,Comedy,2015-10-02 20:00:00,2015-10-02 20:00:00,1860,0,0,0.02272637963839409
80,FIRST ONE TO GO,JGN,Comedy,2015-10-09 20:00:00,2015-10-09 20:00:00,1860,0,0,0.019666754195135045
81,FIRST ONE TO GO,JGN,Comedy,2015-10-16 20:00:00,2015-10-16 20:00:00,1860,0,0,0.0215003886508298
82,FIRST ONE TO GO,JGN,Comedy,2015-10-23 20:00:00,2015-10-23 20:00:00,1860,0,0,0.02511937252668792
83,FIRST ONE TO GO,JGN,Comedy,2015-10-30 20:00:00,2015-10-30 20:00:00,1860,0,0,0.021966632157213915
84,FIRST ONE TO GO,JGN,Comedy,2015-11-06 20:00:00,2015-11-06 20:00:00,1860,0,0,0.02307160664353334
85,FIRST ONE TO GO,JGN,Comedy,2015-11-13 20:00:00,2015-11-13 20:00:00,1860,0,0,0.02365848229626385
86,FIRST ONE TO GO,JGN,Comedy,2015-11-20 20:00:00,2015-11-20 20:00:00,1860,0,0,0.02627778172582764
87,FIRST ONE TO GO,JGN,Comedy,2015-11-26 22:00:00,2015-11-26 22:00:00,1800,0,1,0.0067144737391773065
88,FIRST ONE TO GO,JGN,Comedy,2015-12-04 20:00:00,2015-12-04 20:00:00,1860,0,0,0.0220181422493379
89,FIRST ONE TO GO,JGN,Comedy,2015-12-11 20:00:00,2015-12-11 20:00:00,1860,0,0,0.025103562963703568
90,FIRST ONE TO GO,JGN,Comedy,2015-12-18 20:00:00,2015-12-18 20:00:00,1860,0,1,0.016406863991879787
91,FIRST ONE TO GO,JGN,Comedy,2016-01-01 20:00:00,2016-01-01 20:00:00,1860,0,1,0.014648057205547219
92,FIRST ONE TO GO,JGN,Comedy,2016-01-08 20:00:00,2016-01-08 20:00:00,1860,0,0,0.02327873046046776
93,FIRST ONE TO GO,JGN,Comedy,2016-01-15 20:00:00,2016-01-15 20:00:00,1860,0,0,0.022665449110112992
94,FIRST ONE TO GO,JGN,Comedy,2016-01-22 20:00:00,2016-01-22 20:00:00,1860,0,1,0.020017359305261072
95,FIRST ONE TO GO,JGN,Comedy,2016-01-29 20:00:00,2016-01-29 20:00:00,1860,0,0,0.02362082131946928
96,FIRST ONE TO GO,JGN,Comedy,2016-02-05 20:00:00,2016-02-05 20:00:00,1860,0,0,0.020487816126967425
97,FIRST ONE TO GO,JGN,Comedy,2016-02-19 20:00:00,2016-02-19 20:00:00,1860,0,0,0.023390252737257016
98,FIRST ONE TO GO,JGN,Comedy,2016-02-26 20:00:00,2016-02-26 20:00:00,1860,0,0,0.02428973374571956
99,FIRST ONE TO GO,JGN,Comedy,2016-03-04 20:00:00,2016-03-04 20:00:00,1860,0,1,0.017298631870311346
100,FIRST ONE TO GO,JGN,Comedy,2016-03-11 20:00:00,2016-03-11 20:00:00,1860,0,0,0.019418049362456846
101,FIRST ONE TO GO,JGN,Comedy,2016-03-18 20:00:00,2016-03-18 20:00:00,1860,0,0,0.02537377868944209
102,FIRST ONE TO GO,JGN,Comedy,2016-03-25 20:00:00,2016-03-25 20:00:00,1860,0,1,0.016335152547401418
103,FIRST ONE TO GO,JGN,Comedy,2016-04-01 20:00:00,2016-04-01 20:00:00,1860,0,1,0.01509048128558434
104,FIRST ONE TO GO,JGN,Comedy,2016-04-08 20:00:00,2016-04-08 20:00:00,1860,0,0,0.021020627879757392
105,FIRST ONE TO GO,JGN,Comedy,2016-04-15 20:00:00,2016-04-15 20:00:00,1860,0,0,0.020967494871073158
106,FIRST ONE TO GO,JGN,Comedy,2016-04-22 20:00:00,2016-04-22 20:00:00,1860,0,0,0.018811181751692347
107,FIRST ONE TO GO,JGN,Comedy,2016-07-30 20:00:00,2016-07-30 20:00:00,1860,1,1,0.007093264114465431
108,FIRST ONE TO GO,JGN,Comedy,2016-08-06 20:00:00,2016-08-06 20:00:00,1860,0,1,0.005384669491497794
109,FIRST ONE TO GO,JGN,Comedy,2016-08-13 20:00:00,2016-08-13 20:00:00,1860,0,1,0.00587208411027057
110,FIRST ONE TO GO,JGN,Comedy,2016-08-20 20:00:00,2016-08-20 20:00:00,1860,0,1,0.006691106394123715
111,FIRST ONE TO GO,JGN,Comedy,2016-08-27 20:00:00,2016-08-27 20:00:00,1860,0,1,0.007108030715963194
112,FIRST ONE TO GO,JGN,Comedy,2016-09-16 20:00:00,2016-09-16 20:00:00,1860,0,1,0.011196839765092602
113,FIRST ONE TO GO,JGN,Comedy,2016-09-23 20:00:00,2016-09-23 20:00:00,1860,1,0,0.01952653001624292
114,FIRST ONE TO GO,JGN,Comedy,2016-09-30 20:00:00,2016-09-30 20:00:00,1860,0,0,0.02032171621521915
115,FIRST ONE TO GO,JGN,Comedy,2016-10-07 20:00:00,2016-10-07 20:00:00,1860,0,0,0.019193627063112118
116,FIRST ONE TO GO,JGN,Comedy,2016-10-14 20:00:00,2016-10-14 20:00:00,1860,0,0,0.016883266354925326
117,FIRST ONE TO GO,JGN,Comedy,2016-10-21 20:00:00,2016-10-21 20:00:00,1860,0,0,0.02092383032730702
118,FIRST ONE TO GO,JGN,Comedy,2016-11-04 20:00:00,2016-11-04 20:00:00,1860,0,0,0.020949609288936747
119,FIRST ONE TO GO,JGN,Comedy,2016-11-11 20:00:00,2016-11-11 20:00:00,1860,0,0,0.02206053001196565
120,FIRST ONE TO GO,JGN,Comedy,2016-11-18 20:00:00,2016-11-18 20:00:00,1860,0,0,0.023438680087298984
121,FIRST ONE TO GO,JGN,Comedy,2016-12-02 20:00:00,2016-12-02 20:00:00,1860,0,0,0.021582377188489453
122,FIRST ONE TO GO,JGN,Comedy,2016-12-09 20:00:00,2016-12-09 20:00:00,1860,0,0,0.021551559609571242
123,FIRST ONE TO GO,JGN,Comedy,2016-12-16 20:00:00,2016-12-16 20:00:00,1860,0,0,0.020208328166753456
124,FIRST ONE TO GO,JGN,Comedy,2016-12-23 20:00:00,2016-12-23 20:00:00,1860,0,1,0.01471983980786525
125,FIRST ONE TO GO,JGN,Comedy,2016-12-30 20:00:00,2016-12-30 20:00:00,1860,0,1,0.01712318391063937
126,FIRST ONE TO GO,JGN,Comedy,2017-01-06 20:00:00,2017-01-06 20:00:00,1860,0,0,0.023385421570462063
127,FIRST ONE TO GO,JGN,Comedy,2017-01-13 20:00:00,2017-01-13 20:00:00,1860,0,0,0.025493841965745525
128,FIRST ONE TO GO,JGN,Comedy,2017-01-20 20:00:00,2017-01-20 20:00:00,1860,0,0,0.0250413033425758
129,HEY SISTER,JGN,Comedy,2015-09-02 20:00:00,2015-09-02 20:00:00,1800,0,1,0.013663763063032712
130,HEY SISTER,JGN,Comedy,2015-09-16 20:00:00,2015-09-16 20:00:00,1800,0,1,0.012896993026311357
131,HEY SISTER,JGN,Comedy,2015-09-23 20:00:00,2015-09-23 20:00:00,1800,1,0,0.029301441835393998
132,HEY SISTER,JGN,Comedy,2015-09-30 20:00:00,2015-09-30 20:00:00,1800,0,0,0.02693440289054341
133,HEY SISTER,JGN,Comedy,2015-10-07 20:00:00,2015-10-07 20:00:00,1800,0,0,0.024360300272883467
134,HEY SISTER,JGN,Comedy,2015-10-14 20:00:00,2015-10-14 20:00:00,1800,0,0,0.026130156554256646
135,HEY SISTER,JGN,Comedy,2015-10-21 20:00:00,2015-10-21 20:00:00,1800,0,0,0.02124171512313445
136,HEY SISTER,JGN,Comedy,2015-10-28 20:00:00,2015-10-28 20:00:00,1800,0,0,0.02429356389178992
137,HEY SISTER,JGN,Comedy,2015-11-11 20:00:00,2015-11-11 20:00:00,1800,0,0,0.027734282114341542
138,HEY SISTER,JGN,Comedy,2015-11-18 20:00:00,2015-11-18 20:00:00,1800,0,0,0.02803717195027457
139,HEY SISTER,JGN,Comedy,2015-11-25 20:00:00,2015-11-25 20:00:00,1800,0,1,0.019932257521140046
140,HEY SISTER,JGN,Comedy,2015-11-26 21:00:00,2015-11-26 21:00:00,1800,0,1,0.005672013273590943
141,HEY SISTER,JGN,Comedy,2015-12-02 20:00:00,2015-12-02 20:00:00,1800,0,0,0.025826183337263758
142,HEY SISTER,JGN,Comedy,2015-12-09 20:00:00,2015-12-09 20:00:00,1800,0,0,0.02524578883536031
143,HEY SISTER,JGN,Comedy,2015-12-16 20:00:00,2015-12-16 20:00:00,1800,0,1,0.017498380386079575
144,HEY SISTER,JGN,Comedy,2015-12-23 20:00:00,2015-12-23 20:00:00,1800,0,1,0.011827887713506048
145,HEY SISTER,JGN,Comedy,2015-12-30 20:00:00,2015-12-30 20:00:00,1800,0,1,0.018486552538490044
146,HEY SISTER,JGN,Comedy,2016-01-06 20:00:00,2016-01-06 20:00:00,1800,0,0,0.024561709497018497
147,HEY SISTER,JGN,Comedy,2016-01-13 20:00:00,2016-01-13 20:00:00,1800,0,0,0.025365005188154842
148,HEY SISTER,JGN,Comedy,2016-01-20 20:00:00,2016-01-20 20:00:00,1800,0,0,0.02366262109625038
149,HEY SISTER,JGN,Comedy,2016-01-27 20:00:00,2016-01-27 20:00:00,1800,0,1,0.015736398275106964
150,HEY SISTER,JGN,Comedy,2016-02-10 20:00:00,2016-02-10 20:00:00,1800,0,0,0.021923639962267958
151,HEY SISTER,JGN,Comedy,2016-02-17 20:00:00,2016-02-17 20:00:00,1800,0,0,0.025033111949600784
152,HEY SISTER,JGN,Comedy,2016-02-24 20:00:00,2016-02-24 20:00:00,1800,0,0,0.02187211504901796
153,HEY SISTER,JGN,Comedy,2016-03-09 20:00:00,2016-03-09 20:00:00,1800,0,1,0.016823037226695415
154,HEY SISTER,JGN,Comedy,2016-03-16 20:00:00,2016-03-16 20:00:00,1800,0,0,0.02385690546777617
155,HEY SISTER,JGN,Comedy,2016-03-23 20:00:00,2016-03-23 20:00:00,1800,0,0,0.0251467579085672
156,HEY SISTER,JGN,Comedy,2016-03-30 20:00:00,2016-03-30 20:00:00,1800,0,1,0.01677079641545666
157,HEY SISTER,JGN,Comedy,2016-04-06 20:00:00,2016-04-06 20:00:00,1800,0,0,0.02484029107569989
